TWNRNGSEC,avg_d_mbps,avg_u_mbps,avg_lat_ms,cluster_labels
40N02W18,19.708444444444446,1.5571111111111113,60.22222222222222,0
40N02W19,31.219851851851853,4.015037037037037,60.55555555555556,0
40N03W,49.25828608923892,12.611013123359571,44.35958005249344,1
40N03W02,51.946333333333335,8.033333333333333,68.33333333333333,0
40N03W06,88.83982954545456,10.249954545454548,26.011363636363637,1
40N03W07,85.04881333333333,11.076279999999999,29.76,1
40N03W11,50.285374999999995,6.80005357142857,47.767857142857146,0
40N03W12,47.620999999999995,4.880999999999999,51.5,0
40N03W13,59.53359595959598,13.299797979797983,42.24242424242424,1
40N03W14,40.09158878504673,6.084878504672896,47.02803738317757,0
40N03W23,43.728833333333334,10.044033333333337,40.4,0
40N03W24,48.76920863309352,19.860460431654676,42.70503597122302,1
40N04W01,106.12918181818185,8.81090909090909,28.454545454545453,1
40N04W02,33.994499999999995,5.537000000000001,40.5,0
40N04W05,24.914749999999998,4.604916666666667,623.75,2
40N04W08,91.83452631578947,11.414263157894737,29.0,1
40N04W09,61.771266666666655,11.992333333333335,99.4,1
40N04W10,87.55945454545454,11.055545454545454,21.454545454545453,1
40N04W11,50.5984,7.2459999999999996,28.0,0
40N04W12,169.62115625000004,14.284968749999997,24.625,1
40N04W14,45.889655172413796,8.538931034482758,31.448275862068964,0
40N04W15,89.16894230769233,10.225634615384614,28.28846153846154,1
40N04W16,97.42930769230769,12.390153846153844,19.923076923076923,1
40N04W22,53.728411764705875,8.771235294117648,31.705882352941178,0
40N04W23,85.07008333333333,11.316027777777782,25.52777777777778,1
41N01E03,46.86638461538461,5.558061538461538,100.46153846153847,0
41N01E04,36.74874999999999,5.667919354838712,89.99193548387096,0
41N01E05,19.987545454545458,2.5599545454545454,138.1818181818182,0
41N01E06,31.733364705882355,4.053988235294118,130.12941176470588,0
41N01E07,6.2275,3.0245,362.0,2
41N01E08,36.061375,12.452499999999999,305.75,1
41N01E09,54.90766666666667,4.249333333333333,153.41666666666666,0
41N01E10,39.50707894736841,3.1004473684210523,153.55263157894737,0
41N01E11,32.77375,4.124625,367.25,2
41N01E17,45.563,4.5014,339.8,0
41N01E18,86.21925,10.041875000000001,52.75,1
41N01W01,44.162288659793816,5.065536082474227,104.73195876288659,0
41N01W02,15.97875,3.8155,40.0,0
41N01W03,12.417,5.076499999999999,47.5,0
41N01W10,18.5943,2.9812,481.1,2
41N01W11,18.745,4.6428,48.0,0
41N01W12,59.66550000000001,6.395625000000001,133.375,0
41N02E01,252.775,18.544,28.0,1
41N02E02,88.61985714285716,9.558714285714286,61.285714285714285,1
41N02E03,3.098,0.45780000000000004,48.6,0
41N02E04,11.168666666666665,2.015933333333334,244.86666666666667,0
41N02E05,34.46091666666667,6.518125,152.0,0
41N02E06,42.745999999999995,39.52057142857143,206.42857142857142,1
41N02E09,2.7775625,0.40693749999999995,101.0625,0
41N02E10,2.693923076923077,0.4083846153846154,112.6923076923077,0
41N02W02,108.832,7.965,50.0,1
41N02W03,54.8096,5.3558,406.0,2
41N02W10,30.629249999999995,4.173,494.5,2
41N02W11,30.629249999999995,4.173,494.5,2
41N03E05,163.537,10.532666666666666,63.666666666666664,1
41N03E06,163.537,10.532666666666666,63.666666666666664,1
41N03E07,163.537,10.532666666666666,63.666666666666664,1
41N03E08,139.77183333333335,9.375,314.8333333333333,1
41N03E09,41.30022222222223,6.320111111111111,446.0,2
41N03E10,32.462999999999994,5.476222222222223,579.0,2
41N03E11,28.387642857142854,4.993714285714285,476.7857142857143,2
41N03E12,6.257,4.996,594.0,2
41N03E13,34.399,4.678,724.0,2
41N03E14,2.552,4.114,699.0,2
41N03E15,2.552,4.114,699.0,2
41N03W19,94.66882857142856,9.707314285714284,29.571428571428573,1
41N03W30,56.93481818181818,7.244999999999999,26.181818181818183,0
41N03W31,93.84290804597704,10.240206896551722,23.79310344827586,1
41N04E01,6.8802,0.9798,242.4,0
41N04E02,42.02866666666666,7.157666666666667,51.77777777777778,0
41N04E03,36.95422222222222,6.853111111111111,83.44444444444444,0
41N04E05,1.619,0.819,57.0,0
41N04E07,33.940583333333336,4.344916666666667,624.6666666666666,2
41N04E08,7.957000000000001,1.486,251.33333333333334,0
41N04E09,9.373000000000001,2.7735,367.5,2
41N04E10,44.64728571428571,8.601999999999999,90.28571428571429,0
41N04E11,44.544,8.555142857142856,52.857142857142854,0
41N04W04,51.61181818181817,6.705363636363637,427.72727272727275,2
41N04W05,88.64753846153846,9.624999999999998,237.69230769230768,1
41N04W09,47.57600000000001,3.3180000000000005,354.25,0
41N04W10,95.144,8.061,47.0,1
41N04W25,52.8915,5.8785,40.5,0
41N04W27,159.598,12.608,55.0,1
41N04W35,48.363,11.650666666666666,53.833333333333336,1
41N04W36,84.94278260869567,8.485956521739132,28.217391304347824,1
41N05E02,24.493,3.663,36.0,0
41N05E03,10.680499999999999,1.8599999999999999,116.75,0
41N05E04,25.9764,4.726999999999999,104.4,0
41N05E06,8.625250000000001,1.6621249999999999,124.75,0
41N05E07,8.011000000000001,0.9246666666666666,41.0,0
41N05E08,7.037374999999998,0.9506249999999998,35.25,0
41N05E09,15.443125,2.3979999999999997,29.625,0
41N05E14,88.11945454545454,13.382545454545454,44.81818181818182,1
41N05E15,90.07972222222222,10.99427777777778,46.0,1
41N05E16,58.699999999999996,4.871857142857143,39.357142857142854,0
41N05E17,10.912,2.186928571428571,209.57142857142858,0
41N05E21,107.78566666666666,8.265500000000001,52.833333333333336,1
41N05E22,101.70342857142857,10.115238095238096,49.523809523809526,1
41N05E23,98.38866666666667,11.915888888888889,49.111111111111114,1
41N05W01,51.695,5.220000000000001,86.0,0
41N05W02,17.249000000000002,3.766,672.0,2
41N05W03,37.775,4.453166666666667,577.3333333333334,2
41N05W05,11.581,4.920999999999999,685.0,2
41N05W06,15.474666666666666,4.936333333333333,680.0,2
41N05W08,5.824,3.396,678.0,2
41N05W09,8.504000000000001,3.9456666666666664,679.0,2
41N05W15,5.266,5.475,46.0,0
41N05W16,9.565000000000001,5.26,363.5,2
41N05W22,59.21775,8.559999999999999,365.75,0
41N05W23,34.683,4.079,681.0,2
